source,target,sign,source_db,confidence
AATF,BAX,-1,gold_standard,
AATF,MYC,1,gold_standard,
ABL1,BAX,1,gold_standard,
ABL1,BCL6,-1,gold_standard,
ABL1,CCND2,1,gold_standard,
ABL1,CDKN1A,1,gold_standard,
ABL1,FOXO3,1,gold_standard,
ABL1,JUN,1,gold_standard,
ABL1,PIM1,1,gold_standard,
ABL1,TP53,1,gold_standard,
AES,RND3,1,gold_standard,
AHR,CCNG2,1,gold_standard,
AHR,CYP1B1,1,gold_standard,
AHR,PCNA,1,gold_standard,
AHR,RFC3,1,gold_standard,
AIP,AHR,1,gold_standard,
AIP,GREB1,-1,gold_standard,
AIP,NFKB2,-1,gold_standard,
AIP,RSF1,-1,gold_standard,
AIP,TFF1,-1,gold_standard,
APBB1,GMPS,-1,gold_standard,
APC,AKT1,-1,gold_standard,
APC,AMHR2,-1,gold_standard,
APC,DNMT1,-1,gold_standard,
APC,MYC,-1,gold_standard,
APC,ODC1,-1,gold_standard,
APC,SGK1,-1,gold_standard,
APEX1,CCL2,1,gold_standard,
APEX1,NFKB1,1,gold_standard,
APEX1,RELA,1,gold_standard,
APEX1,SLC5A5,1,gold_standard,
ARID3A,PML,1,gold_standard,
ARNT,CCNE1,-1,gold_standard,
ARNT,CDK2,-1,gold_standard,
ARNT,CYP1B1,1,gold_standard,
ARNT,EPO,1,gold_standard,
ARNT,FOS,-1,gold_standard,
ARNT,HIF1A,1,gold_standard,
ARNT,JUN,-1,gold_standard,
ARNTL,BHLHE40,1,gold_standard,
ARNTL,CRY1,1,gold_standard,
ARNTL,CRY2,1,gold_standard,
ARNTL,PER1,1,gold_standard,
ARNTL,PER2,1,gold_standard,
ATF1,CFTR,1,gold_standard,
ATF1,FTH1,1,gold_standard,
ATF1,MAP1LC3B,1,gold_standard,
ATF1,MITF,1,gold_standard,
ATF1,SLC20A1,1,gold_standard,
ATF1,TGFB2,1,gold_standard,
ATF2,APOC3,1,gold_standard,
ATF2,ATF3,1,gold_standard,
ATF2,CCND1,1,gold_standard,
ATF2,KAT5,-1,gold_standard,
ATF2,JUN,1,gold_standard,
ATF2,MMP2,1,gold_standard,
ATF2,PCK1,1,gold_standard,
ATF2,POLB,1,gold_standard,
ATF2,RELA,1,gold_standard,
ATF2,ST3GAL5,1,gold_standard,
ATF2,TGFB2,-1,gold_standard,
ATF3,ADIPOR1,-1,gold_standard,
ATF3,ADIPOR2,-1,gold_standard,
ATF3,ASNS,1,gold_standard,
ATF3,DDIT3,1,gold_standard,
ATF3,GDF15,1,gold_standard,
ATF3,ID1,-1,gold_standard,
ATF3,LDLR,-1,gold_standard,
ATF3,MMP2,-1,gold_standard,
ATF4,APOE,1,gold_standard,
ATF4,ASNS,1,gold_standard,
ATF4,ATF3,1,gold_standard,
ATF4,ATG5,1,gold_standard,
ATF4,CEBPB,1,gold_standard,
ATF4,CHAC1,1,gold_standard,
