source,target,sign,source_db,confidence
AATF,TPT1,1,gold_standard,
AATF,TRP53,1,gold_standard,
AHR,IL6,-1,gold_standard,
AHR,NQO1,1,gold_standard,
AHR,PLA2G4A,1,gold_standard,
AHR,PTGS2,1,gold_standard,
AHR,VAV3,1,gold_standard,
APC,SPP1,1,gold_standard,
APC,TCF4,1,gold_standard,
APC,TRP53,-1,gold_standard,
APEX1,NFKB1,1,gold_standard,
APEX1,PTGS2,1,gold_standard,
APEX1,RELA,1,gold_standard,
APEX1,TLR4,-1,gold_standard,
ARL6IP5,PARP1,-1,gold_standard,
ATF1,HSPA5,1,gold_standard,
ATF2,CEBPA,1,gold_standard,
ATF2,ENTPD1,1,gold_standard,
ATF2,FOS,1,gold_standard,
ATF2,IL23A,-1,gold_standard,
ATF2,PPARG,1,gold_standard,
ATF2,RELA,1,gold_standard,
ATF2,RHOB,1,gold_standard,
ATF3,ATF3,-1,gold_standard,
ATF3,IL12B,-1,gold_standard,
ATF3,IL6,-1,gold_standard,
ATF3,SORT1,-1,gold_standard,
ATF3,TNFRSF10B,1,gold_standard,
ATF4,CDKN1A,1,gold_standard,
ATF4,CDKN1B,1,gold_standard,
ATF4,HSPA5,1,gold_standard,
ATF4,IL6,1,gold_standard,
ATF4,SPHK2,1,gold_standard,
ATF6,HSPA5,1,gold_standard,
ATF6,WBP1,1,gold_standard,
ATM,CDKN1A,-1,gold_standard,
ATM,TRP53,1,gold_standard,
BACH1,HMOX1,-1,gold_standard,
BACH1,TRP53,-1,gold_standard,
BATF3,IRF8,1,gold_standard,
BCL3,NFKB1,-1,gold_standard,
BCL3,TNF,-1,gold_standard,
BCL3,TNFAIP3,1,gold_standard,
BCL6,BATF,-1,gold_standard,
BCL6,BCL6,-1,gold_standard,
BCL6,CDKN1A,-1,gold_standard,
BCL6,CDKN1B,-1,gold_standard,
BCL6,CSF1R,1,gold_standard,
BCL6,GADD45A,-1,gold_standard,
BCL6,PRDM1,-1,gold_standard,
BHLHE40,IL2RA,1,gold_standard,
BMI1,CDKN1A,-1,gold_standard,
BMI1,CDKN2D,-1,gold_standard,
BMI1,IKZF1,-1,gold_standard,
BMI1,NFKB1,1,gold_standard,
BTG2,CREB1,1,gold_standard,
CEBPA,CFLAR,1,gold_standard,
CEBPA,IL12B,1,gold_standard,
CEBPA,LPIN1,1,gold_standard,
CEBPA,NFKB1,1,gold_standard,
CEBPA,NOS2,1,gold_standard,
CEBPA,PTGS2,1,gold_standard,
CEBPB,CEBPA,1,gold_standard,
CEBPB,CSF1R,-1,gold_standard,
CEBPB,FOS,1,gold_standard,
CEBPB,H2-K1,1,gold_standard,
CEBPB,IL1B,1,gold_standard,
CEBPB,PPARG,1,gold_standard,
CEBPB,PTGS2,1,gold_standard,
CEBPB,RUNX2,-1,gold_standard,
CEBPG,CEBPA,-1,gold_standard,
CEBPG,CEBPB,-1,gold_standard,
CHD4,ID2,-1,gold_standard,
CHD4,JUN,-1,gold_standard,
CHD7,JAG1,1,gold_standard,
CHD8,STAT3,-1,gold_standard,
CHD8,TCF4,-1,gold_standard,
CIITA,NFATC1,1,gold_standard,
CITED2,CEBPA,1,gold_standard,
CITED2,LDHB,1,gold_standard,
CITED2,PPARG,1,gold_standard,
CLOCK,BHLHE40,1,gold_standard,
CLOCK,NAMPT,1,gold_standard,
CLOCK,PER1,1,gold_standard,
CNOT7,TOB1,1,gold_standard,
CREB1,ENTPD1,1,gold_standard,
CREB1,ETV3,1,gold_standard,
CREB1,FOS,1,gold_standard,
CREB1,HSPA5,1,gold_standard,
CREB1,MIF,1,gold_standard,
CREB1,MITF,1,gold_standard,
CREB1,PTGS2,1,gold_standard,
CREB1,SLC20A1,1,gold_standard,
CREB3,HERPUD1,1,gold_standard,
CREBBP,BIRC5,1,gold_standard,
CREBBP,CREBBP,-1,gold_standard,
CREBBP,FOS,1,gold_standard,
CREBBP,FTH1,-1,gold_standard,
CREBBP,HMOX1,1,gold_standard,
CREBBP,MT1,1,gold_standard,
CREBBP,NFKB1,1,gold_standard,
CREBBP,SETDB1,-1,gold_standard,
CREBBP,TNF,1,gold_standard,
CREBBP,TRP53,1,gold_standard,
CSF1,CD36,1,gold_standard,
CTNNB1,BCL2L1,1,gold_standard,
CTNNB1,BIRC5,1,gold_standard,
CTNNB1,CCNE1,1,gold_standard,
CTNNB1,GLUL,1,gold_standard,
CTNNB1,PML,1,gold_standard,
CTNNB1,PTGS2,1,gold_standard,
CTNNB1,RUNX2,1,gold_standard,
CTNNB1,SLC2A1,1,gold_standard,
CTNNB1,TCF4,1,gold_standard,
CTNNB1,VEGFA,1,gold_standard,
CUX1,CDKN1A,-1,gold_standard,
CUX1,CDKN1B,-1,gold_standard,
CUX1,DCTN6,-1,gold_standard,
CUX1,RUNX2,-1,gold_standard,
DAB2,AXIN1,-1,gold_standard,
DAXX,TRP53,-1,gold_standard,
DDX54,MBP,1,gold_standard,
DDX58,IFNB1,1,gold_standard,
DMTF1,EGR1,-1,gold_standard,
DMTF1,JUNB,-1,gold_standard,
DNMT3A,MDM2,1,gold_standard,
DNMT3A,RB1,-1,gold_standard,
E2F4,MAP1LC3B,1,gold_standard,
E2F4,RAD51,-1,gold_standard,
E2F4,RB1,-1,gold_standard,
EGR1,BNIP3,-1,gold_standard,
EGR1,CCL2,1,gold_standard,
EGR1,CREBBP,1,gold_standard,
EGR1,CXCL2,1,gold_standard,
EGR1,GGPS1,1,gold_standard,
EGR1,ID3,1,gold_standard,
EGR1,IL1B,1,gold_standard,
EGR1,JUND,1,gold_standard,
EGR1,MAP1LC3B,1,gold_standard,
EGR1,MAPK14,1,gold_standard,
EGR1,MET,-1,gold_standard,
EGR1,MMP14,1,gold_standard,
EGR1,NR4A1,1,gold_standard,
EGR1,PTEN,1,gold_standard,
EGR1,STIM1,1,gold_standard,
EGR1,THBS1,1,gold_standard,
EGR1,TK1,1,gold_standard,
EGR1,TNF,1,gold_standard,
EGR1,TRP53,1,gold_standard,
EGR2,CBL,1,gold_standard,
EGR2,CEBPB,1,gold_standard,
EGR2,ID2,1,gold_standard,
EGR2,NAB1,1,gold_standard,
EHMT2,PPARG,-1,gold_standard,
EIF2AK2,STAT1,-1,gold_standard,
ELF1,CSF1R,1,gold_standard,
ELF1,FCER1G,-1,gold_standard,
ELF1,FLI1,1,gold_standard,
ELF1,TOLLIP,-1,gold_standard,
ELF4,TRP53,-1,gold_standard,
ELK3,NOS2,-1,gold_standard,
ELK3,PCYT1A,-1,gold_standard,
EP300,CDKN1A,1,gold_standard,
EP300,DNMT1,1,gold_standard,
EP300,FOS,1,gold_standard,
EP300,HMOX1,1,gold_standard,
EP300,MT1,1,gold_standard,
EP300,PPARG,1,gold_standard,
EP300,PTGS2,1,gold_standard,
EP300,SPP1,1,gold_standard,
EP300,STAT5A,1,gold_standard,
EP300,TNFSF10,1,gold_standard,
ETS2,BCL2L1,1,gold_standard,
ETS2,CSF1R,1,gold_standard,
ETS2,FLI1,1,gold_standard,
ETS2,HMOX1,1,gold_standard,
ETS2,HMOX2,1,gold_standard,
ETS2,MDM2,1,gold_standard,
ETS2,NOS2,1,gold_standard,
ETS2,PCYT1A,1,gold_standard,
ETS2,TLR13,1,gold_standard,
ETV6,FLI1,-1,gold_standard,
EWSR1,UPP1,1,gold_standard,
EZH1,TOLLIP,-1,gold_standard,
EZH2,BAD,-1,gold_standard,
FLI1,CCL2,1,gold_standard,
FLI1,EZH2,1,gold_standard,
FLI1,FLI1,1,gold_standard,
FLI1,INPP5D,-1,gold_standard,
FLI1,RB1,-1,gold_standard,
FLI1,UPP1,1,gold_standard,
FMR1,RAC1,-1,gold_standard,
FOS,FOS,-1,gold_standard,
FOS,IL27,1,gold_standard,
FOS,NFE2L2,-1,gold_standard,
FOS,NOS2,1,gold_standard,
FOS,NR3C1,1,gold_standard,
FOS,SRXN1,1,gold_standard,
FOSB,FOS,-1,gold_standard,
FOSL2,RELB,1,gold_standard,
FOXO1,ADIPOR1,1,gold_standard,
FOXO1,AKT1,1,gold_standard,
FOXO1,BAX,-1,gold_standard,
FOXO1,CASP8,1,gold_standard,
FOXO1,CCL2,1,gold_standard,
FOXO1,CCND2,-1,gold_standard,
FOXO1,CCNG2,1,gold_standard,
FOXO1,CDKN1A,1,gold_standard,
FOXO1,CDKN1B,1,gold_standard,
FOXO1,EGR1,-1,gold_standard,
FOXO1,IKZF1,1,gold_standard,
FOXO1,IL7R,1,gold_standard,
FOXO1,LPL,1,gold_standard,
FOXO1,PIK3R1,1,gold_standard,
FOXO1,PPARG,-1,gold_standard,
FOXO1,SREBF1,-1,gold_standard,
FUS,MDM2,-1,gold_standard,
GABPA,IL7R,1,gold_standard,
GTF2I,FOS,1,gold_standard,
GTF2I,TGFBR2,-1,gold_standard,
HDAC1,FAS,-1,gold_standard,
HDAC1,NFKBIA,-1,gold_standard,
HDAC1,PPP2CA,1,gold_standard,
HDAC1,SPP1,1,gold_standard,
