source,target,sign,source_db,confidence
AATF,TPT1,1,gold_standard,
AATF,TRP53,1,gold_standard,
AES,IHH,1,gold_standard,
AHR,GATA4,-1,gold_standard,
AHR,IL6,-1,gold_standard,
AHR,NQO1,1,gold_standard,
AHR,VAV3,1,gold_standard,
APBB1,LRP1,-1,gold_standard,
APC,MYC,-1,gold_standard,
APC,SPP1,1,gold_standard,
APC,TCF4,1,gold_standard,
APC,TRP53,-1,gold_standard,
APEX1,NFKB1,1,gold_standard,
APEX1,RELA,1,gold_standard,
ARL6IP5,PARP1,-1,gold_standard,
ARL6IP5,XRCC1,1,gold_standard,
ARNTL,BHLHE40,1,gold_standard,
ARNTL,NFE2L2,-1,gold_standard,
ARNTL,PER1,1,gold_standard,
ARNTL,PER2,1,gold_standard,
ARNTL,VWF,-1,gold_standard,
ATF1,HSPA5,1,gold_standard,
ATF2,CCND1,1,gold_standard,
ATF2,CEBPA,1,gold_standard,
ATF2,ENTPD1,1,gold_standard,
ATF2,FOS,1,gold_standard,
ATF2,GABRB3,1,gold_standard,
ATF2,INS2,1,gold_standard,
ATF2,RELA,1,gold_standard,
ATF2,RHOB,1,gold_standard,
ATF3,ATF3,-1,gold_standard,
ATF3,CCND1,1,gold_standard,
ATF3,IL6,-1,gold_standard,
ATF3,SORT1,-1,gold_standard,
ATF3,TNFRSF10B,1,gold_standard,
ATF4,CDKN1A,1,gold_standard,
ATF4,CDKN1B,1,gold_standard,
ATF4,DDR2,1,gold_standard,
ATF4,HSPA5,1,gold_standard,
ATF4,IL6,1,gold_standard,
ATF4,SPHK2,1,gold_standard,
ATF6,HSPA5,1,gold_standard,
ATF6,WBP1,1,gold_standard,
ATM,CDKN1A,-1,gold_standard,
ATM,TRP53,1,gold_standard,
BACH1,HMOX1,-1,gold_standard,
BACH1,TRP53,-1,gold_standard,
BACH2,PRDM1,-1,gold_standard,
BCL3,NFKB1,-1,gold_standard,
BCL3,TNF,-1,gold_standard,
BCL3,TNFAIP3,1,gold_standard,
BMI1,CDKN1A,-1,gold_standard,
BMI1,CDKN2A,1,gold_standard,
BMI1,CDKN2D,-1,gold_standard,
BMI1,E4F1,1,gold_standard,
BMI1,HMGA2,-1,gold_standard,
BMI1,NANOG,1,gold_standard,
BMI1,NFKB1,1,gold_standard,
BRCA1,AKT1,1,gold_standard,
BRCA1,CDKN1A,1,gold_standard,
BRCA1,HMGA2,-1,gold_standard,
BRCA1,MAD2L1,1,gold_standard,
BRCA1,MDM2,1,gold_standard,
BRCA1,RAD51,1,gold_standard,
BRCA1,SIRT1,1,gold_standard,
BRCA1,TPT1,1,gold_standard,
BRCA2,CDKN1A,-1,gold_standard,
BTG2,CREB1,1,gold_standard,
CBX6,CCNE1,-1,gold_standard,
CCND1,CDKN2A,1,gold_standard,
CEBPA,AMELX,1,gold_standard,
CEBPA,CFLAR,1,gold_standard,
CEBPA,CLU,1,gold_standard,
CEBPA,CRABP2,-1,gold_standard,
CEBPA,LPIN1,1,gold_standard,
CEBPA,NFKB1,1,gold_standard,
CEBPA,SLC2A4,1,gold_standard,
CEBPB,CEBPA,1,gold_standard,
CEBPB,CLU,1,gold_standard,
CEBPB,FOS,1,gold_standard,
CEBPB,FOXF1,1,gold_standard,
CEBPB,H2-K1,1,gold_standard,
CEBPB,MYC,-1,gold_standard,
CEBPB,RUNX2,-1,gold_standard,
CEBPG,CEBPA,-1,gold_standard,
CEBPG,CEBPB,-1,gold_standard,
CEBPZ,HSPA1B,1,gold_standard,
CHD4,ID2,-1,gold_standard,
CHD4,JUN,-1,gold_standard,
CHD4,NGFR,-1,gold_standard,
CHD7,JAG1,1,gold_standard,
CHD7,SOX4,1,gold_standard,
CHD8,STAT3,-1,gold_standard,
CHD8,TCF4,-1,gold_standard,
CITED2,CEBPA,1,gold_standard,
CITED2,LDHB,1,gold_standard,
CITED2,PDK2,1,gold_standard,
CITED2,PDK4,1,gold_standard,
CITED2,SMAD3,1,gold_standard,
CITED2,WNT4,1,gold_standard,
CLOCK,BHLHE40,1,gold_standard,
CLOCK,CRY1,1,gold_standard,
CLOCK,CRY2,1,gold_standard,
CLOCK,NAMPT,1,gold_standard,
CLOCK,PER1,1,gold_standard,
CLOCK,PER2,1,gold_standard,
CLOCK,SERPINE2,1,gold_standard,
CNOT7,TOB1,1,gold_standard,
CREB1,ENTPD1,1,gold_standard,
CREB1,ETV3,1,gold_standard,
CREB1,FOS,1,gold_standard,
CREB1,HSPA5,1,gold_standard,
CREB1,MIF,1,gold_standard,
CREB1,MITF,1,gold_standard,
CREB1,NOCT,1,gold_standard,
CREB1,SLC20A1,1,gold_standard,
CREB1,SLC2A3,1,gold_standard,
CREB3,HERPUD1,1,gold_standard,
CREB3L3,SMURF1,1,gold_standard,
CREB3L4,EDEM1,1,gold_standard,
CREBBP,BIRC5,1,gold_standard,
CREBBP,CREBBP,-1,gold_standard,
CREBBP,CRYAB,1,gold_standard,
CREBBP,FOS,1,gold_standard,
CREBBP,FTH1,-1,gold_standard,
CREBBP,HMOX1,1,gold_standard,
CREBBP,HINFP,1,gold_standard,
CREBBP,MT1,1,gold_standard,
CREBBP,NFKB1,1,gold_standard,
CREBBP,SETDB1,-1,gold_standard,
CREBBP,TNF,1,gold_standard,
CREBBP,TRP53,1,gold_standard,
CRTC1,CREB1,1,gold_standard,
CTCF,MGAT5B,1,gold_standard,
CTCF,PAX6,-1,gold_standard,
CTNNB1,AXIN2,1,gold_standard,
CTNNB1,BCL2L1,1,gold_standard,
CTNNB1,BIRC5,1,gold_standard,
CTNNB1,BMP4,1,gold_standard,
CTNNB1,CCND1,1,gold_standard,
CTNNB1,CCNE1,1,gold_standard,
CTNNB1,E2F1,-1,gold_standard,
CTNNB1,FGFBP1,1,gold_standard,
CTNNB1,VEGFD,1,gold_standard,
CTNNB1,FOXA2,-1,gold_standard,
CTNNB1,GJA1,1,gold_standard,
CTNNB1,GLUL,1,gold_standard,
CTNNB1,IHH,-1,gold_standard,
CTNNB1,MYCN,1,gold_standard,
CTNNB1,NANOG,1,gold_standard,
CTNNB1,NR0B1,1,gold_standard,
CTNNB1,PITX2,1,gold_standard,
CTNNB1,PML,1,gold_standard,
CTNNB1,PPARD,1,gold_standard,
CTNNB1,RUNX2,1,gold_standard,
CTNNB1,SLC2A1,1,gold_standard,
CTNNB1,TCF4,1,gold_standard,
CTNNB1,TWIST1,1,gold_standard,
CTNNB1,VEGFA,1,gold_standard,
CUX1,CCNA2,1,gold_standard,
CUX1,CDKN1A,-1,gold_standard,
CUX1,CDKN1B,-1,gold_standard,
CUX1,DCTN6,-1,gold_standard,
CUX1,FAM89B,-1,gold_standard,
CUX1,HIST2H4,1,gold_standard,
CUX1,NCAM1,-1,gold_standard,
CUX1,RUNX2,-1,gold_standard,
DAB2,AXIN1,-1,gold_standard,
DAXX,TRP53,-1,gold_standard,
DDIT3,BBC3,1,gold_standard,
DDIT3,NOS3,-1,gold_standard,
DDX54,MBP,1,gold_standard,
DMRT1,SOX2,-1,gold_standard,
DMTF1,CDKN2A,1,gold_standard,
DMTF1,EGR1,-1,gold_standard,
DMTF1,JUNB,-1,gold_standard,
DNAJC2,ID1,1,gold_standard,
DNMT3A,MDM2,1,gold_standard,
DNMT3A,NANOG,-1,gold_standard,
DNMT3A,POU5F1,-1,gold_standard,
DNMT3A,RB1,-1,gold_standard,
DNMT3B,NANOG,-1,gold_standard,
DNMT3B,POU5F1,-1,gold_standard,
DTX1,SMARCC1,-1,gold_standard,
E2F1,ATM,1,gold_standard,
E2F1,BID,1,gold_standard,
E2F1,BIN1,-1,gold_standard,
E2F1,BMI1,1,gold_standard,
E2F1,CCND1,-1,gold_standard,
E2F1,CDKN1A,1,gold_standard,
E2F1,CDKN2A,1,gold_standard,
E2F1,CDKN2C,1,gold_standard,
E2F1,DDB2,1,gold_standard,
E2F1,DNMT1,-1,gold_standard,
E2F1,EGR1,1,gold_standard,
E2F1,HINFP,-1,gold_standard,
E2F1,HMGA1,1,gold_standard,
E2F1,MCL1,-1,gold_standard,
E2F1,MYCN,1,gold_standard,
E2F1,MYH10,1,gold_standard,
E2F1,NOX4,1,gold_standard,
E2F1,NPAT,1,gold_standard,
E2F1,NRP1,-1,gold_standard,
E2F1,PCNA,1,gold_standard,
E2F1,PDK4,-1,gold_standard,
E2F1,POLA1,1,gold_standard,
E2F1,PURA,1,gold_standard,
E2F1,RB1,-1,gold_standard,
E2F1,SIVA1,1,gold_standard,
E2F1,TAPBP,1,gold_standard,
E2F1,TRP53,-1,gold_standard,
E2F1,VEGFA,-1,gold_standard,
E2F2,CDKN2A,1,gold_standard,
E2F2,CHEK1,-1,gold_standard,
E2F2,FGFR2,1,gold_standard,
E2F2,MCM5,-1,gold_standard,
E2F3,CDKN2A,1,gold_standard,
E2F3,IGF2,1,gold_standard,
E2F4,BRCA1,-1,gold_standard,
E2F4,E2F2,1,gold_standard,
E2F4,MAP1LC3B,1,gold_standard,
