source,target,sign,source_db,confidence
AHR,PLA2G4A,1,gold_standard,
AHR,VAV3,1,gold_standard,
ARNTL,BHLHE40,1,gold_standard,
ARNTL,NFE2L2,-1,gold_standard,
ARNTL,PER2,1,gold_standard,
ARNTL,VWF,-1,gold_standard,
BATF2,CCL5,1,gold_standard,
BATF3,IRF8,1,gold_standard,
BCL11B,AHR,-1,gold_standard,
BHLHE40,IL2RA,1,gold_standard,
BMI1,CDKN1A,-1,gold_standard,
BMI1,IKZF1,-1,gold_standard,
BMI1,NFKB1,1,gold_standard,
CD7,NFKB1,1,gold_standard,
CIITA,NFATC1,1,gold_standard,
CLOCK,BHLHE40,1,gold_standard,
CLOCK,CRY2,1,gold_standard,
CLOCK,NAMPT,1,gold_standard,
CLOCK,PER2,1,gold_standard,
CLOCK,SERPINE2,1,gold_standard,
DMTF1,AREG,-1,gold_standard,
DMTF1,EGR1,-1,gold_standard,
DMTF1,JUNB,-1,gold_standard,
E2F4,RAD51,-1,gold_standard,
E2F4,RB1,-1,gold_standard,
EBF1,BLK,1,gold_standard,
EBF1,CD79A,1,gold_standard,
EBF1,ZFP521,1,gold_standard,
EGR1,CCL2,1,gold_standard,
EGR1,CDKN1C,1,gold_standard,
EGR1,ICAM1,1,gold_standard,
EGR1,ID3,1,gold_standard,
EGR1,MAPK14,1,gold_standard,
EGR1,MAPK8,1,gold_standard,
EGR1,MMP9,1,gold_standard,
EGR1,NR4A1,1,gold_standard,
EGR1,PTGES,1,gold_standard,
EGR1,THBS1,1,gold_standard,
EGR1,TK1,1,gold_standard,
EGR1,IL12A,1,gold_standard,
EGR2,ID2,1,gold_standard,
EGR2,NAB1,1,gold_standard,
EGR2,ZBTB16,1,gold_standard,
ELF1,CSF1R,1,gold_standard,
ELF1,DNTT,1,gold_standard,
ELF1,FCER1G,-1,gold_standard,
ELF1,TOLLIP,-1,gold_standard,
EPAS1,RUNX2,1,gold_standard,
EPOR,CISH,1,gold_standard,
ESR1,CDKN1A,-1,gold_standard,
ESR1,IGF1,1,gold_standard,
ESR1,LTF,1,gold_standard,
ESR1,NRF1,1,gold_standard,
ESR1,PTGS1,1,gold_standard,
ESR1,TNFSF11,1,gold_standard,
ETS1,CCL2,1,gold_standard,
ETS1,CD4,1,gold_standard,
ETS1,CSF1R,1,gold_standard,
ETS1,CSF3R,1,gold_standard,
ETS1,PF4,1,gold_standard,
ETS1,HMOX1,1,gold_standard,
ETS1,IGHM,1,gold_standard,
ETS1,IKZF1,1,gold_standard,
ETS1,IL7R,1,gold_standard,
ETS1,ITGA2B,1,gold_standard,
ETS1,PCYT1A,1,gold_standard,
ETS1,RUNX2,1,gold_standard,
ETS1,SELL,1,gold_standard,
ETS1,SPP1,1,gold_standard,
ETS1,TGFBR2,1,gold_standard,
ETS1,TLR4,1,gold_standard,
ETS1,VWF,1,gold_standard,
EYA2,MTOR,1,gold_standard,
EZH1,TOLLIP,-1,gold_standard,
FHL2,FOS,1,gold_standard,
FOS,FOS,-1,gold_standard,
FOS,KRT18,1,gold_standard,
FOS,MMP9,-1,gold_standard,
FOS,NFE2L2,-1,gold_standard,
FOS,PPP1R3B,1,gold_standard,
FOS,SPI1,-1,gold_standard,
FOS,SRC,1,gold_standard,
FOS,SRXN1,1,gold_standard,
FOS,TFF2,-1,gold_standard,
FOXJ3,MEF2C,1,gold_standard,
FOXO1,ADIPOQ,1,gold_standard,
FOXO1,ALPL,1,gold_standard,
FOXO1,CCL2,1,gold_standard,
FOXO1,CCNG2,1,gold_standard,
FOXO1,CDKN1A,1,gold_standard,
FOXO1,EGR1,-1,gold_standard,
FOXO1,IKZF1,1,gold_standard,
FOXO1,IL7R,1,gold_standard,
FOXO1,PIK3R1,1,gold_standard,
FOXO1,SELL,1,gold_standard,
FOXO1,TRIB3,-1,gold_standard,
GATA1,CDC6,1,gold_standard,
GATA1,PF4,1,gold_standard,
GATA1,EPB42,1,gold_standard,
GATA1,FCER1G,1,gold_standard,
GATA1,SPI1,-1,gold_standard,
GATA1,ZFP26,-1,gold_standard,
GATA2,CSF2,1,gold_standard,
GATA2,SPI1,1,gold_standard,
GFI1,CDKN1A,-1,gold_standard,
GFI1,ID2,-1,gold_standard,
GFI1,IL7R,-1,gold_standard,
GFI1,SPI1,-1,gold_standard,
GFI1B,ELF4,-1,gold_standard,
GFI1B,MEIS1,1,gold_standard,
GFI1B,RAG1,1,gold_standard,
GFI1B,RAG2,1,gold_standard,
HBP1,MYOG,-1,gold_standard,
HCLS1,IGHG2B,1,gold_standard,
HDAC2,BMP7,-1,gold_standard,
HDAC2,CCNE1,-1,gold_standard,
HDAC2,NFKBIA,-1,gold_standard,
HMGB2,RUNX2,-1,gold_standard,
HNF4A,PKLR,1,gold_standard,
HNF4A,PPARGC1A,-1,gold_standard,
HNF4A,SLC6A19,1,gold_standard,
HOXA9,MYB,1,gold_standard,
HOXA9,SPP1,-1,gold_standard,
HSPB1,CDKN1A,1,gold_standard,
ID1,ALPL,-1,gold_standard,
ID1,CDKN1A,-1,gold_standard,
ID1,REL,1,gold_standard,
ID1,RORC,-1,gold_standard,
ID1,RUNX2,-1,gold_standard,
ID1,THBS1,-1,gold_standard,
ID2,ALPL,-1,gold_standard,
ID2,CCNA2,-1,gold_standard,
ID2,RUNX2,-1,gold_standard,
ID2,SPI1,-1,gold_standard,
ID3,ADIPOQ,-1,gold_standard,
ID3,ALPL,-1,gold_standard,
ID3,NOTCH1,-1,gold_standard,
ID3,RUNX2,-1,gold_standard,
ID3,VCAM1,-1,gold_standard,
IKBKB,CXCL10,1,gold_standard,
IKBKB,NFKB1,1,gold_standard,
IKBKB,NFKBIA,-1,gold_standard,
IKZF1,CD4,-1,gold_standard,
IKZF1,IGLL1,-1,gold_standard,
IKZF1,MYC,1,gold_standard,
IRF1,CCL5,1,gold_standard,
IRF1,CIITA,1,gold_standard,
IRF1,CXCL10,1,gold_standard,
IRF1,GBP2,1,gold_standard,
IRF1,IL12A,1,gold_standard,
IRF1,MAPK14,1,gold_standard,
IRF1,SELL,1,gold_standard,
IRF6,NECTIN4,1,gold_standard,
IRF8,CCL5,1,gold_standard,
IRF8,GAS2,-1,gold_standard,
IRF8,IL12A,1,gold_standard,
IRF8,JAK1,1,gold_standard,
IRF9,IRF7,1,gold_standard,
JARID2,NOTCH1,-1,gold_standard,
JUN,ALDH1A1,1,gold_standard,
JUN,CAT,1,gold_standard,
JUN,CSF1R,1,gold_standard,
JUN,CYP11A1,1,gold_standard,
JUN,FOS,-1,gold_standard,
JUN,GCLC,1,gold_standard,
JUN,SLC2A1,1,gold_standard,
JUN,HMOX1,1,gold_standard,
JUN,ICAM1,1,gold_standard,
JUN,ITGA5,1,gold_standard,
JUN,JUN,1,gold_standard,
JUN,KRT18,1,gold_standard,
JUN,MMP9,1,gold_standard,
JUN,NFE2L2,-1,gold_standard,
JUN,NFKB1,1,gold_standard,
JUN,ODC1,1,gold_standard,
JUN,PPP1R3B,1,gold_standard,
JUN,PTPN4,1,gold_standard,
JUN,RAB18,1,gold_standard,
JUN,RELB,1,gold_standard,
JUN,SPI1,1,gold_standard,
JUN,SPP1,1,gold_standard,
JUN,SRXN1,1,gold_standard,
JUN,TFF2,-1,gold_standard,
KLF1,KLF8,1,gold_standard,
KLF10,ARNTL,-1,gold_standard,
KLF10,MYCN,-1,gold_standard,
KLF6,CDKN1A,1,gold_standard,
LEF1,CDH1,-1,gold_standard,
LEF1,DLL1,1,gold_standard,
LEF1,ELANE,1,gold_standard,
LEF1,RUNX2,-1,gold_standard,
LMO4,BMP7,1,gold_standard,
MEF2A,NRF1,1,gold_standard,
MEF2C,RUNX2,1,gold_standard,
MEF2C,SOCS2,1,gold_standard,
MEIS1,PF4,1,gold_standard,
MEIS1,MYOG,1,gold_standard,
MYB,CDKN1A,-1,gold_standard,
MYB,CSF1R,-1,gold_standard,
MYB,CSF3R,-1,gold_standard,
MYB,IGFBP5,1,gold_standard,
MYB,KIT,1,gold_standard,
MYC,BCL2,-1,gold_standard,
MYC,CAD,1,gold_standard,
MYC,CAR1,1,gold_standard,
MYC,CDH1,1,gold_standard,
MYC,CDKN1A,-1,gold_standard,
MYC,HDAC2,1,gold_standard,
MYC,MYC,-1,gold_standard,
